time sig 4/4
tempo 499968 msecs per qnote (120.00768049155145 bpm)
key sig C major
0: meta 1 text: (C) 1994 Tune 1000 Corporation  ;Warner/Chappell Music Canada Ltd. Int'l righ
0: meta 1 text: ts secured
0: meta 1 text: Back Vocal
0: meta 1 text: (C) 1994 Tune 1000 Corporation  ;Warner/Chappell Music Canada Ltd. Int'l righ
0: meta 1 text: ts secured
0: meta 1 text: Back Vocal
0: meta 1 text: (C) 1994 Tune 1000 Corporation  ;Warner/Chappell Music Canada Ltd. Int'l righ
0: meta 1 text: ts secured
0: meta 1 text: Back Vocal
0: meta 1 text: (C) 1994 Tune 1000 Corporation  ;Warner/Chappell Music Canada Ltd. Int'l righ
0: meta 1 text: ts secured
0: meta 1 text: (C) 1994 Tune 1000 Corporation  ;Warner/Chappell Music Canada Ltd. Int'l righ
0: meta 1 text: ts secured
0: meta 1 text: Back Vocal
tempo 517056 msecs per qnote (116.04158930560713 bpm)
0: ch 0 on 57 104
0: ch 0 on 64 98
0: ch 0 on 60 100
0: ch 0 on 41 100
398: ch 0 off 64 64
4: ch 0 off 53 64
0: ch 0 off 57 64
0: ch 0 off 60 64
0: ch 0 off 41 64
76: ch 0 on 41 114
2: ch 0 on 60 92
0: ch 0 on 112 57
0: ch 0 on 64 88
78: ch 0 off 60 64
4: ch 0 off 64 64
10: ch 0 off 41 64
98: ch 0 on 43 96
82: ch 0 off 43 64
12: ch 0 on 53 98
0: ch 0 on 55 87
0: ch 0 on 62 87
0: ch 0 on 59 66
46: ch 0 off 55 64
4: ch 0 off 59 64
8: ch 0 off 62 64
4: ch 0 off 53 64
32: ch 0 on 43 96
30: ch 0 off 43 64
66: ch 0 on 43 117
2: ch 0 on 59 104
0: ch 0 on 53 117
0: ch 0 on 62 97
2: ch 0 on 55 100
284: ch 0 off 55 64
6: ch 0 off 53 64
4: ch 0 off 59 64
0: ch 0 off 62 64
60: ch 0 off 43 64
32: ch 0 on 41 100
74: ch 0 off 41 64
114: ch 0 on 57 92
0: ch 0 on 53 102
0: ch 0 on 60 92
2: ch 0 on 64 94
2: ch 0 on 41 108
328: ch 0 off 57 64
2: ch 0 off 64 64
2: ch 0 off 53 64
0: ch 0 off 60 64
62: ch 0 off 41 64
84: ch 0 on 41 117
2: ch 0 on 53 106
0: ch 0 on 57 97
0: ch 0 on 64 95
0: ch 0 on 60 85
34: ch 0 off 57 64
4: ch 0 off 60 64
8: ch 0 off 53 64
0: ch 0 off 64 64
48: ch 0 off 41 64
0: ch 0 on 43 102
96: ch 0 off 43 64
96: ch 0 on 53 112
0: ch 0 on 57 102
0: ch 0 on 60 97
0: ch 0 on 64 97
0: ch 0 on 43 122
464: ch 0 off 43 64
12: ch 0 off 64 64
4: ch 0 off 53 64
0: ch 0 off 57 64
0: ch 0 off 60 64
94: ch 0 on 41 100
0: ch 0 on 53 100
0: ch 0 on 60 92
2: ch 0 on 57 91
0: ch 0 on 64 90
62: ch 0 off 57 64
0: ch 0 off 64 64
2: ch 0 off 60 64
8: ch 0 off 53 64
4: ch 0 off 41 64
116: ch 0 on 53 110
0: ch 0 on 57 104
0: ch 0 on 60 102
0: ch 0 on 64 100
0: ch 0 on 41 110
390: ch 0 off 53 64
0: ch 0 off 57 64
0: ch 0 off 64 64
4: ch 0 off 60 64
4: ch 0 off 41 64
80: ch 0 on 41 112
4: ch 0 on 53 110
0: ch 0 on 57 98
0: ch 0 on 60 95
0: ch 0 on 64 90
42: ch 0 off 57 64
0: ch 0 off 64 64
8: ch 0 off 60 64
4: ch 0 off 53 64
32: ch 0 off 41 64
104: ch 0 on 43 122
90: ch 0 off 43 64
2: ch 0 on 53 102
2: ch 0 on 60 91
0: ch 0 on 57 95
0: ch 0 on 64 88
58: ch 0 off 57 64
0: ch 0 off 64 64
8: ch 0 off 60 64
6: ch 0 off 53 64
26: ch 0 on 43 90
34: ch 0 off 43 64
60: ch 0 on 43 114
2: ch 0 on 53 110
0: ch 0 on 64 95
0: ch 0 on 60 97
0: ch 0 on 57 100
284: ch 0 off 53 64
0: ch 0 off 64 64
0: ch 0 off 60 64
0: ch 0 off 57 64
14: ch 0 off 43 64
84: ch 0 on 41 100
2: ch 0 on 53 102
0: ch 0 on 57 94
0: ch 0 on 60 92
0: ch 0 on 64 91
58: ch 0 off 57 64
4: ch 0 off 64 64
4: ch 0 off 60 64
2: ch 0 off 41 64
6: ch 0 off 53 64
118: ch 0 on 53 110
0: ch 0 on 60 102
0: ch 0 on 57 100
0: ch 0 on 64 95
0: ch 0 on 41 102
378: ch 0 off 53 64
0: ch 0 off 57 64
0: ch 0 off 64 64
4: ch 0 off 60 64
12: ch 0 off 41 64
84: ch 0 on 41 102
2: ch 0 on 60 98
0: ch 0 on 53 114
0: ch 0 on 57 104
0: ch 0 on 64 92
50: ch 0 off 57 64
4: ch 0 off 64 64
4: ch 0 off 60 64
4: ch 0 off 53 64
30: ch 0 off 41 64
100: ch 0 on 43 112
94: ch 0 on 53 102
0: ch 0 on 59 90
0: ch 0 on 55 95
0: ch 0 on 62 86
4: ch 0 off 43 64
66: ch 0 off 55 64
0: ch 0 off 62 64
4: ch 0 off 59 64
4: ch 0 off 53 64
114: ch 0 on 62 102
0: ch 0 on 53 112
0: ch 0 on 59 104
0: ch 0 on 55 104
4: ch 0 on 43 117
292: ch 0 off 43 64
4: ch 0 off 62 64
0: ch 0 off 53 64
0: ch 0 off 59 64
0: ch 0 off 55 64
86: ch 0 on 53 88
0: ch 0 on 60 83
